obs,Localtime,EURCHFClose_bid,EURCHFClose_ask,EURGBPClose_bid,EURGBPClose_ask,GBPCHFClose_bid,GBPCHFClose_ask,uhat1_2009_2010,uhat2_2009_2010,uhat3_2009_2010,EC1_2009_2010,uhat1_2013_2014,uhat2_2013_2014,uhat3_2013_2014,EC1_2013_2014,uhat1_2015_2016,uhat2_2015_2016,uhat3_2015_2016,EC1_2015_2016,uhat1_2017_2018,uhat2_2017_2018,uhat3_2017_2018,EC1_2017_2018
2010-11-23,"22.11.2010 22:00:00.000 GMT-0000",1.33292,1.33324,0.84724,0.84746,1.57326,1.57364,-0.0126343158330851,-0.00286202643242528,-0.00622341533789872,-1.42010357030133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11-24,"23.11.2010 22:00:00.000 GMT-0000",1.32773,1.3283,0.84539,0.84562,1.57037,1.57123,-0.00456038608489501,-0.00253751862195228,-0.0015060513316747,-1.42025361040044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11-25,"24.11.2010 22:00:00.000 GMT-0000",1.33626,1.33735,0.84747,0.84798,1.57639,1.57754,0.00974540451343942,0.00983728796427563,0.000748460519482075,-1.42007965957698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11-26,"25.11.2010 22:00:00.000 GMT-0000",1.32807,1.32878,0.84923,0.84933,1.56426,1.56459,-0.00968974045738374,-0.0146510111440192,0.00154117784983887,-1.42035288590732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11-29,"28.11.2010 22:00:00.000 GMT-0000",1.31249,1.31306,0.84273,0.84301,1.55697,1.55763,-0.0134228871888388,-0.00713674904723272,-0.00491703172075386,-1.42003668365354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11-30,"29.11.2010 22:00:00.000 GMT-0000",1.3028,1.30312,0.83414,0.83441,1.56147,1.56183,-0.0071763634083144,0.0056508133972264,-0.00776180798932957,-1.41932297023634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-01,"30.11.2010 22:00:00.000 GMT-0000",1.31663,1.31685,0.84084,0.84111,1.56566,1.56604,0.0136017242351023,0.00562744375761604,0.00568020040154371,-1.41863960730921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-02,"01.12.2010 22:00:00.000 GMT-0000",1.31121,1.31167,0.84663,0.84685,1.54856,1.54894,-0.00643946798079176,-0.0127285779516906,0.00262240473829134,-1.41961070038197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-03,"02.12.2010 22:00:00.000 GMT-0000",1.30607,1.30642,0.85025,0.85045,1.53438,1.53677,-0.00328754294954764,-0.0130014386186361,0.00504708520838359,-1.41960479464671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-06,"05.12.2010 22:00:00.000 GMT-0000",1.30626,1.30654,0.84665,0.84685,1.54256,1.54294,0.00100225508845914,0.00954557271016943,-0.00463400193228791,-1.42036128770484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
